chr,chr_bkpt,peak,mark,is_bkpt
chr15,34502180,480,TFs_and_others_BRD4,1
chr15,34502180,742,TFs_and_others_RAD21,1
chr15,34502180,3268,TFs_and_others_CTCF,1
chr15,34502180,758,TFs_and_others_EP300,1
chr15,34502180,177,TFs_and_others_GTF3C2,1
chr15,34502180,128,TFs_and_others_BRCA1,1
chr15,34502180,306,TFs_and_others_REST,1
chr15,34502180,614,TFs_and_others_MAX,1
chr15,34502180,212,TFs_and_others_CHD2,1
chr15,34502180,117,Histone_H3K27me3,1
chr15,34502180,135,Histone_H2A.Z,1
chr15,34502180,332,Histone_H3.3,1
chr15,34502180,167,TFs_and_others_MED1,1
chr15,34502180,506,TFs_and_others_CIC,1
chr15,34502180,220,Histone_H3K4me1,1
chr15,34502180,361,TFs_and_others_PHF8,1
chr15,34502180,696,TFs_and_others_ASCL1,1
chr15,34502180,208,TFs_and_others_MXI1,1
chr15,34502180,156,TFs_and_others_HAND2,1
chr15,34502180,1237,TFs_and_others_STAG1,1
chr15,34502180,178,Histone_H3K122ac,1
chr15,34502180,409,TFs_and_others_ATRX,1
chr15,59450259,318,TFs_and_others_SMARCA4,1
chr15,59450259,271,TFs_and_others_RARA,1
chr15,59450259,368,TFs_and_others_MEIS1,1
chr15,59450259,406,TFs_and_others_EBF3,1
chr15,59450259,123,TFs_and_others_SMARCA2,1
chr15,64448240,719,Histone_H3K27ac,1
chr15,64448240,451,Histone_H3K36me3,1
chr15,64448240,838,TFs_and_others_BRD4,1
chr18,39633392,131,TFs_and_others_RFX5,1
chr18,39633392,99,TFs_and_others_Epitope tags,1
chr18,39633392,650,TFs_and_others_USF1,1
chr18,39633392,329,TFs_and_others_SMARCA4,1
chr18,39633392,333,TFs_and_others_STAG2,1
chr18,39633392,250,Histone_H3K27ac,1
chr18,39633392,122,TFs_and_others_RARA,1
chr18,39633392,182,TFs_and_others_CTCFL,1
chr18,39633392,221,Histone_H3K4me3,1
chr18,39633392,105,TFs_and_others_OTX2,1
chr18,39633392,1906,TFs_and_others_RAD21,1
chr18,39633392,2789,TFs_and_others_CTCF,1
chr18,39633392,141,TFs_and_others_EP300,1
chr18,39633392,161,TFs_and_others_MEIS1,1
chr18,39633392,111,Histone_H3K4me1,1
chr18,39633392,242,TFs_and_others_SMC1A,1
chr18,39633392,825,TFs_and_others_STAG1,1
chr18,39633392,847,TFs_and_others_SMC3,1
chr15,37388236,199,TFs_and_others_TFAP2B,1
chr15,37388236,326,TFs_and_others_EZH2,1
chr15,37388236,469,Histone_H3K27ac,1
chr15,37388236,428,Histone_H3K36me3,1
chr15,37388236,462,Histone_H3K4me2,1
chr15,37388236,310,Histone_H3K4me3,1
chr15,37388236,202,Histone_H3K4me1,1
chr15,27638165,129,Histone_H3K9me3,1
chr15,27638165,157,Histone_H3K27me3,1
chr15,58779827,106,TFs_and_others_SMARCA4,1
chr15,58779827,124,TFs_and_others_NEUROD1,1
chr15,58779827,353,TFs_and_others_OTX2,1
chr15,58779827,102,Histone_H3.3,1
chr15,38846855,131,Histone_H3K4me1,1
chr15,43350415,999,Histone_H3K36me3,1
chr7,2153486,406,Histone_H3K27ac,1
chr7,2153486,160,Histone_H3K36me3,1
chr15,36048000,121,TFs_and_others_SMARCA4,1
chr15,36048000,1056,TFs_and_others_RARA,1
chr15,36048000,1032,TFs_and_others_MEIS1,1
chr15,36048000,207,TFs_and_others_HAND2,1
chr15,41370374,713,Histone_H3K36me3,1
chr15,49638678,87,Histone_H3K27ac,1
chr15,49638678,109,TFs_and_others_CTCF,1
chr15,75498764,310,Histone_H3K36me3,1
chr15,60297895,185,TFs_and_others_EZH2,1
chr15,60297895,506,Histone_H3K27ac,1
chr15,60297895,396,TFs_and_others_BMI1,1
chr15,60297895,518,Histone_H3K4me2,1
chr15,60297895,784,Histone_H3K4me3,1
chr15,60297895,203,Histone_H3K9me3,1
chr15,60297895,86,TFs_and_others_BRD4,1
chr15,60297895,504,Histone_H3K27me3,1
chr15,60297895,200,TFs_and_others_CIC,1
chr15,60297895,354,Histone_H3K4me1,1
chr15,60297895,234,TFs_and_others_SUZ12,1
chr15,66242159,115,TFs_and_others_FOXJ3,1
chr15,66242159,965,TFs_and_others_TFAP2B,1
chr15,66242159,103,Histone_H3K27ac,1
chr15,66242159,253,TFs_and_others_RARA,1
chr15,66242159,137,TFs_and_others_TBX2,1
chr15,66242159,217,TFs_and_others_MYCN,1
chr15,66242159,149,TFs_and_others_RAD21,1
chr15,66242159,284,TFs_and_others_EP300,1
chr15,66242159,442,TFs_and_others_GATA2,1
chr15,66242159,189,Histone_H3K4me1,1
chr15,66242159,480,TFs_and_others_HAND2,1
chr15,29564215,653,Histone_H3K27ac,1
chr15,66963791,227,Histone_H3K27ac,1
chr15,66963791,156,Histone_H3K27me3,1
chr15,55518789,458,Histone_H3K36me3,1
chr4,1648566,114,Histone_H3K27ac,1
chr4,1648566,65,Histone_H3K4me1,1
chr4,1648566,223,TFs_and_others_ASCL1,1
chr15,27592310,126,Histone_H3K9me3,1
chr15,27592310,248,TFs_and_others_OTX2,1
chr15,27692074,102,Histone_H3K9me3,1
chr15,33153560,493,Histone_H3K27ac,1
chr15,33153560,100,Histone_H3K4me1,1
chr20,37175080,280,Histone_H3K27ac,1
chr15,69138855,88,Histone_H3K4me3,1
chr15,69138855,93,Histone_H3K9me3,1
chr15,69138855,358,Histone_H3K27me3,1
chr15,35946279,1092,Histone_H3K27ac,1
chr15,35946279,105,Histone_H3K4me1,1
chr15,64401439,199,Histone_H3K36me3,1
chr15,36044622,900,TFs_and_others_Epitope tags,1
chr15,36044622,164,Histone_H3K27ac,1
chr9,99381288,117,TFs_and_others_OLIG2,1
chr9,99381288,428,Histone_H3K9ac,1
chr9,99381288,157,TFs_and_others_EZH2,1
chr9,99381288,341,TFs_and_others_CHD8,1
chr9,99381288,1278,Histone_H3K27ac,1
chr9,99381288,139,Histone_H3K36me3,1
chr9,99381288,404,TFs_and_others_BMI1,1
chr9,99381288,1713,Histone_H3K4me2,1
chr9,99381288,740,Histone_H3K9K14ac,1
chr9,99381288,2193,Histone_H3K4me3,1
chr9,99381288,165,TFs_and_others_MYCN,1
chr9,99381288,456,TFs_and_others_BRD4,1
chr9,99381288,135,TFs_and_others_CTCF,1
chr9,99381288,681,TFs_and_others_GTF3C2,1
chr9,99381288,157,Histone_H3K79me2,1
chr9,99381288,457,Histone_H3K27me3,1
chr9,99381288,224,Histone_H2A.Z,1
chr9,99381288,305,TFs_and_others_CIC,1
chr9,99381288,229,Histone_H3K4me1,1
chr9,99381288,118,Histone_H3.3 K27M mutant,1
chr9,99381288,291,Histone_H3K122ac,1
chr15,26031340,1233,Histone_H3K27ac,1
chr15,26031340,129,Histone_H3K36me3,1
chr15,26031340,177,Histone_H3K4me2,1
chr15,26031340,149,Histone_H3K79me2,1
chr15,26031340,257,Histone_H3K27me3,1
chr15,26031340,244,TFs_and_others_CIC,1
chr15,26031340,95,Histone_H3K4me1,1
chr15,41405752,329,Histone_H3K36me3,1
chr15,25626015,67,Histone_H3K4me1,1
chr15,27692336,158,Histone_H3K9me3,1
chr15,27692336,227,Histone_H3K27me3,1
chr15,77930005,171,Histone_H3K27ac,1
chr7,1146265,694,Histone_H3K27ac,1
chr7,1146265,320,Histone_H3K4me3,1
chr7,1146265,1316,TFs_and_others_ASCL1,1
chr15,37014317,275,TFs_and_others_OTX2,1
chr15,43375886,419,Histone_H3K36me3,1
chr15,89416605,109,Histone_H3K27me3,1
chr4,21765873,141,TFs_and_others_KDM1A,1
chr4,21765873,150,TFs_and_others_FOXJ3,1
chr4,21765873,155,TFs_and_others_SMARCA4,1
chr4,21765873,500,TFs_and_others_GATA3,1
chr4,21765873,1954,TFs_and_others_ISL1,1
chr4,21765873,458,Histone_H3K27ac,1
chr4,21765873,1178,TFs_and_others_RARA,1
chr4,21765873,197,TFs_and_others_PITX3,1
chr4,21765873,507,TFs_and_others_ZNF70,1
chr4,21765873,545,TFs_and_others_MAML3,1
chr4,21765873,151,TFs_and_others_TWIST1,1
chr4,21765873,92,TFs_and_others_MYC,1
chr4,21765873,273,TFs_and_others_BRD4,1
chr4,21765873,1158,TFs_and_others_EP300,1
chr4,21765873,347,TFs_and_others_RCOR1,1
chr4,21765873,199,TFs_and_others_CHD2,1
chr4,21765873,379,TFs_and_others_EBF3,1
chr4,21765873,473,TFs_and_others_GATA2,1
chr4,21765873,160,Histone_H3K27me3,1
chr4,21765873,1959,TFs_and_others_TEAD4,1
chr4,21765873,164,Histone_H3K4me1,1
chr4,21765873,547,TFs_and_others_PHOX2B,1
chr4,21765873,1423,TFs_and_others_HAND2,1
chr4,21765873,164,TFs_and_others_ATRX,1
chr15,66752080,414,Histone_H3K27ac,1
chr15,66752080,115,Histone_H3K4me2,1
chr15,66752080,127,Histone_H3K4me1,1
chr15,27692092,158,Histone_H3K9me3,1
chr15,27692092,227,Histone_H3K27me3,1
chr15,47676606,78,TFs_and_others_ARID1A,1
chr15,47676606,597,TFs_and_others_SMARCA4,1
chr15,47676606,726,Histone_H3K27ac,1
chr15,47676606,352,Histone_H3K4me2,1
chr15,47676606,234,Histone_H3K4me3,1
chr15,47676606,219,TFs_and_others_CHD7,1
chr15,47676606,336,TFs_and_others_NEUROD1,1
chr15,47676606,148,TFs_and_others_SIN3A,1
chr15,47676606,370,TFs_and_others_MYC,1
chr15,47676606,519,TFs_and_others_OTX2,1
chr15,47676606,333,TFs_and_others_BRD4,1
chr15,47676606,187,TFs_and_others_EP300,1
chr15,47676606,182,TFs_and_others_REST,1
chr15,47676606,589,TFs_and_others_MAX,1
chr15,47676606,172,Histone_H3K27me3,1
chr15,47676606,252,Histone_H3.3,1
chr15,47676606,311,TFs_and_others_TEAD4,1
chr15,47676606,186,TFs_and_others_MED1,1
chr15,47676606,213,Histone_H3K4me1,1
chr15,47676606,474,TFs_and_others_FOSL2,1
chr15,47676606,188,TFs_and_others_ATF3,1
chr15,47676606,109,Histone_H3.3 K27M mutant,1
chr15,47676606,74,Histone_H3K27M,1
chr15,47676606,353,TFs_and_others_HAND2,1
chr8,35121733,592,TFs_and_others_GATA3,1
chr8,35121733,123,TFs_and_others_RARA,1
chr8,35121733,464,TFs_and_others_EP300,1
chr8,35121733,471,TFs_and_others_RCOR1,1
chr8,35121733,82,TFs_and_others_CHD2,1
chr8,35121733,441,TFs_and_others_GATA2,1
chr15,67399798,446,Histone_H3K9ac,1
chr15,67399798,1750,TFs_and_others_JUN,1
chr15,67399798,850,Histone_H3K27ac,1
chr15,67399798,467,Histone_H3K4me2,1
chr15,67399798,194,Histone_H3K4me3,1
chr15,67399798,191,Histone_H3K4me1,1
chr15,50824388,215,Histone_H3K27ac,1
chr15,69480132,186,Histone_H3K36me3,1
chr15,59738044,300,Histone_H3K27ac,1
chr15,59738044,289,Histone_H3K27me3,1
chr15,58386821,133,Histone_H3K27me3,1
chr15,27592381,126,Histone_H3K9me3,1
chr15,27592381,248,TFs_and_others_OTX2,1
chr15,44225381,493,TFs_and_others_SMARCA4,1
chr15,44225381,908,Histone_H3K27ac,1
chr15,44225381,149,Histone_H3K4me2,1
chr15,44225381,177,TFs_and_others_NEUROD1,1
chr15,44225381,117,Histone_H3K4me1,1
chr15,44225381,307,TFs_and_others_ASCL1,1
chr15,41476300,80,Histone_H3K9ac,1
chr15,41476300,1039,Histone_H3K27ac,1
chr15,41476300,121,Histone_H3.3,1
chr15,41476300,128,Histone_H3K4me1,1
chr9,112209390,107,Histone_H3K27ac,1
chr9,112209390,154,Histone_H3K27me3,1
chr15,27692341,158,Histone_H3K9me3,1
chr15,27692341,227,Histone_H3K27me3,1
chr7,1149649,209,TFs_and_others_BMI1,1
chr15,42439200,145,Histone_H3K27ac,1
chr15,42439200,145,Histone_H3K4me3,1
chr15,42439200,155,Histone_H3K4me1,1
chr15,53937369,160,Histone_H3K27ac,1
chr15,53937369,332,Histone_H3K27me3,1
chr1,81896744,278,TFs_and_others_SMARCA4,1
chr1,81896744,239,Histone_H3K27ac,1
chr1,81896744,69,Histone_H3.3,1
chr1,81896744,166,TFs_and_others_SMARCA2,1
chr15,36017234,362,Histone_H3K27ac,1
chr15,65457219,321,Histone_H3K27ac,1
chr13,114325887,108,Histone_H3K9me3,1
chr21,41468328,217,Histone_H3K9me3,1
chr21,41468328,150,Histone_H3K27me3,1
chr15,60309233,218,Histone_H3K27me3,1
chr15,34034045,80,Histone_H3K27ac,1
chr15,34034045,120,Histone_H3K4me3,1
chr4,56733648,219,TFs_and_others_CTCF,1
chr13,113421402,345,Histone_H3K27ac,1
chr2,166523101,792,TFs_and_others_Epitope tags,1
chr2,166523101,140,Histone_H3K4me1,1
chr16,69854301,466,Histone_H3K27ac,1
chr2,23727492,216,Histone_H3K27ac,1
chr4,57112518,502,Histone_H3K27ac,1
chr2,1934384,220,Histone_H3K27ac,1
chr2,1934384,428,Histone_H3K27me3,1
chr12,20555370,97,Histone_H3K27ac,1
chr12,20555370,280,Histone_H3K9me3,1
chr4,38623365,212,Histone_H3K27ac,1
chr19,2288999,324,Histone_H3K27ac,1
chr19,2288999,192,Histone_H3K4me3,1
chr19,2288999,557,Histone_H3K27me3,1
chr19,2288999,138,Histone_H3K4me1,1
chr12,23184210,114,TFs_and_others_NEUROD1,1
chr12,23184210,405,TFs_and_others_OTX2,1
chr12,23184210,119,Histone_H3K27me3,1
chr12,7540228,160,TFs_and_others_CTCF,1
chr12,7540228,186,Histone_H3K27me3,1
chr22,23240390,89,Histone_H3K27ac,1
chr22,23240390,98,Histone_H3K27me3,1
chr22,23240390,213,Histone_H3K4me1,1
chr4,663161,181,Histone_H3K4me2,1
chr4,663161,87,TFs_and_others_TCF12,1
chr4,663161,169,TFs_and_others_EP300,1
chr4,663161,113,TFs_and_others_SMC1A,1
chr13,114325864,108,Histone_H3K9me3,1
chr12,11001747,204,TFs_and_others_Epitope tags,1
chr12,11001747,309,Histone_H3K27ac,1
chr2,121730298,251,Histone_H3K27me3,1
chr12,11188586,573,Histone_H3K36me3,1
chr12,11188586,82,Histone_H3K9me3,1
chr12,11188586,181,Histone_H3K27me3,1
chr4,56846080,67,Histone_H3K27ac,1
chr4,56846080,83,Histone_H3K4me1,1
chr9,33794165,248,Histone_H3K27me3,1
chr11,69089751,2298,TFs_and_others_JUN,1
chr11,69089751,196,TFs_and_others_Epitope tags,1
chr11,69089751,612,TFs_and_others_PBX3,1
chr11,69089751,132,TFs_and_others_SMARCA4,1
chr11,69089751,1106,Histone_H3K27ac,1
chr11,69089751,220,Histone_H3K4me2,1
chr11,69089751,378,Histone_H3K4me3,1
chr11,69089751,1784,TFs_and_others_BRD4,1
chr11,69089751,636,TFs_and_others_MAX,1
chr11,69089751,1288,TFs_and_others_MED1,1
chr4,162842237,328,Histone_H3K27ac,1
chr4,162842237,188,Histone_H3K27me3,1
chr4,162842237,178,Histone_H3K4me1,1
chr10,48429595,379,TFs_and_others_CTCF,1
chr13,50502098,178,TFs_and_others_PBX3,1
chr13,50502098,194,TFs_and_others_SMARCA4,1
chr13,50502098,207,TFs_and_others_GATA3,1
chr13,50502098,168,Histone_H3K27ac,1
chr13,50502098,76,Histone_H3K4me2,1
chr13,50502098,132,Histone_H3K4me3,1
chr13,50502098,167,TFs_and_others_TCF12,1
chr13,50502098,169,TFs_and_others_FOSL2,1
chr13,50502098,145,TFs_and_others_SMARCA2,1
chr20,33241830,289,Histone_H3K36me3,1
chr2,120596559,393,TFs_and_others_PHOX2B,1
chr3,131021629,196,Histone_H3K27me3,1
chr4,164458233,144,Histone_H3K27ac,1
chr17,16103883,121,Histone_H3K27ac,1
chr17,16103883,98,TFs_and_others_ASCL1,1
chr20,59950819,165,Histone_H3K27ac,1
chr20,59950819,481,Histone_H3K36me3,1
chr20,59950819,271,Histone_H3K4me3,1
chr20,59950819,494,Histone_H3K9me3,1
chr20,59950819,331,TFs_and_others_MCM3,1
chr20,59950819,468,Histone_H3K27me3,1
chr20,59950819,204,Histone_H4K20me1,1
chr20,59950819,247,Histone_H3K4me1,1
chr14,106815470,1911,TFs_and_others_FLI1,1
chr14,106815470,268,TFs_and_others_TFAP2B,1
chr14,106815470,278,Histone_H3K4me3,1
chr14,106815470,578,TFs_and_others_CTCF,1
chr14,106815470,321,TFs_and_others_ASCL1,1
chr14,106815470,500,TFs_and_others_HAND2,1
chr10,13089870,116,Histone_H3K27ac,1
chr9,140224301,139,TFs_and_others_Epitope tags,1
chr9,140224301,282,TFs_and_others_ARNTL,1
chr9,140224301,200,Histone_H3K27ac,1
chr9,140224301,110,Histone_H3K36me3,1
chr9,140224301,135,Histone_H3K4me3,1
chr9,140224301,930,Histone_H3K9me3,1
chr9,140224301,185,TFs_and_others_BRD4,1
chr9,140224301,191,TFs_and_others_REST,1
chr9,140224301,293,Histone_H3K27me3,1
chr9,140224301,1697,Histone_H3.3,1
chr9,140224301,961,Histone_H3K27M,1
chr16,69854251,466,Histone_H3K27ac,1
chr12,691470,100,Histone_H3K4me3,1
chr12,691470,362,Histone_H3K27me3,1
chr12,691470,73,Histone_H3.3,1
chr2,116503651,168,Histone_H3K27ac,1
chr17,75331451,86,Histone_H3K36me3,1
chr17,75331451,96,Histone_H3K9me3,1
chr2,159704659,252,TFs_and_others_TFAP2B,1
chr2,159704659,288,Histone_H3K27ac,1
chr2,159704659,149,Histone_H3K27me3,1
chr9,14225422,188,Histone_H3K36me3,1
chr4,170360650,141,TFs_and_others_SMARCA4,1
chr4,170360650,223,Histone_H3K27ac,1
chr4,170360650,245,TFs_and_others_ZNF70,1
chr4,170360650,149,TFs_and_others_EP300,1
chr4,170360650,177,Histone_H3K4me1,1
chr14,106372436,138,Histone_H3K27ac,1
chr14,106372436,111,Histone_H3K4me3,1
chr14,106372436,130,Histone_H3K9me3,1
chr14,106372436,174,Histone_H3K27me3,1
chr14,106372436,99,Histone_H3K4me1,1
chr9,139996694,963,Histone_H3K36me3,1
chr9,139996694,672,Histone_H3K9me3,1
chr9,139996694,206,Histone_H3K27me3,1
chr9,139996694,978,Histone_H3.3,1
chr18,42896239,519,TFs_and_others_RAD21,1
chr18,42896239,356,TFs_and_others_CTCF,1
chr3,195499188,284,Histone_H3K27me3,1
chr7,92381639,242,Histone_H3K9ac,1
chr7,92381639,558,TFs_and_others_NFIC,1
chr7,92381639,1392,TFs_and_others_JUN,1
chr7,92381639,626,TFs_and_others_TEAD1,1
chr7,92381639,173,TFs_and_others_Epitope tags,1
chr7,92381639,1355,TFs_and_others_PBX3,1
chr7,92381639,353,TFs_and_others_SMARCA4,1
chr7,92381639,924,TFs_and_others_GATA3,1
chr7,92381639,1187,TFs_and_others_ISL1,1
chr7,92381639,803,Histone_H3K27ac,1
chr7,92381639,229,Histone_H3K4me2,1
chr7,92381639,1319,TFs_and_others_TCF12,1
chr7,92381639,294,TFs_and_others_BRD4,1
chr7,92381639,881,TFs_and_others_JUND,1
chr7,92381639,542,TFs_and_others_EP300,1
chr7,92381639,429,TFs_and_others_MAX,1
chr7,92381639,215,TFs_and_others_MED1,1
chr7,92381639,793,TFs_and_others_FOSL2,1
chr7,92381639,1431,TFs_and_others_ZNF8,1
chr7,92381639,135,TFs_and_others_SMARCA2,1
chr7,92381639,164,TFs_and_others_CREBBP,1
chr7,92381639,244,TFs_and_others_BNC2,1
chr17,55164797,174,Histone_H3K27me3,1
chr8,48957507,237,Histone_H3K36me3,1
chr1,26094329,123,Histone_H3K27ac,1
chr7,91791410,169,Histone_H3K27me3,1
chr7,90522308,274,Histone_H3K27ac,1
chr7,90522308,120,Histone_H3.3,1
chr8,17075594,438,TFs_and_others_NFIC,1
chr8,17075594,292,Histone_H3K4me1,1
chr21,47590065,356,Histone_H3K27ac,1
chr21,47590065,363,Histone_H3K36me3,1
chr21,47590065,99,Histone_H3K9K14ac,1
chr21,47590065,188,Histone_H3K4me3,1
chr21,47590065,107,Histone_H3K9me3,1
chr21,47590065,86,TFs_and_others_MYCN,1
chr21,47590065,89,TFs_and_others_GTF3C2,1
chr21,47590065,342,Histone_H3K79me2,1
chr21,47590065,1018,Histone_H3.3,1
chr21,47590065,228,Histone_H3K4me1,1
chr21,47590065,342,Histone_H3K27M,1
chr11,5637325,187,Histone_H3K27me3,1
chr11,5637325,194,TFs_and_others_CIC,1
chr18,44153999,95,Histone_H3K4me1,1
chr8,10501739,85,Histone_H3K4me1,1
chr7,90560959,256,Histone_H3K27ac,1
chr5,180042138,301,Histone_H3K4me3,1
chr5,180042138,207,Histone_H3K27me3,1
chr18,43443538,232,TFs_and_others_JUN,1
chr18,43443538,293,TFs_and_others_CTCF,1
chr8,9629722,882,TFs_and_others_Epitope tags,1
chr7,90715844,145,Histone_H3K27ac,1
chr7,91663486,104,Histone_H3K27ac,1
chr7,91663486,186,Histone_H3K36me3,1
chr19,16494334,252,TFs_and_others_TOP2B,1
chr19,16494334,435,TFs_and_others_Epitope tags,1
chr19,16494334,736,TFs_and_others_STAG2,1
